task,eng_afr,eng_afr,eng_afr,eng_afr,eng_afr,eng_afr,eng_deu,eng_deu,eng_deu,eng_deu,eng_deu,eng_deu,eng_fil,eng_fil,eng_fil,eng_fil,eng_fil,eng_fil
model,gemma,gemma,llama,llama,t5,t5,gemma,gemma,llama,llama,t5,t5,gemma,gemma,llama,llama,t5,t5
num_datapoint,100,500,100,500,100,500,100,500,100,500,100,500,100,500,100,500,100,500
variable,,,,,,,,,,,,,,,,,,
corr_avg_log_token_prob_mean,-0.1482,0.1227,0.0237,-0.0735,-0.0012,0.1702,0.0855,0.0898,0.0746,-0.1593,-0.0589,-0.0128,0.0487,-0.0632,0.0461,-0.0466,-0.1143,0.0268
corr_avg_token_entropy_mean,0.1312,-0.1427,-0.0146,0.0555,-0.0234,-0.2114,-0.0892,-0.1159,-0.0570,0.1523,0.0756,0.0027,-0.0384,0.0715,-0.0680,0.0463,0.1751,-0.0485
corr_baseline_avg_l2_from_center,-0.0366,-0.0736,0.0243,0.0381,-0.0454,-0.1665,0.0878,0.1915,0.1683,-0.0834,0.0693,0.0208,0.1018,-0.1040,-0.0300,0.0388,0.0002,0.0411
corr_beam_search_impt_mean,0.1462,-0.0345,-0.0536,0.0716,-0.0373,-0.1629,-0.0811,-0.0595,-0.0845,0.1568,0.0489,0.0531,-0.0805,0.0719,-0.0435,0.0430,0.0296,-0.0455
corr_beam_search_ratio_mean,0.1267,-0.0373,0.2333,-0.0458,-0.0009,-0.2474,0.0168,-0.0842,-0.0387,-0.0229,0.0944,0.1116,-0.0558,0.1127,-0.0812,0.0065,0.1038,-0.0150
corr_coverage_of_test,0.0291,0.1814,-0.0119,-0.0946,-0.0854,0.1021,0.0770,0.0899,-0.0533,0.0899,0.1816,0.0178,0.3266*,0.0460,-0.0727,0.0541,0.1124,0.2322
corr_dropout_bald_mean,0.0025,-0.1666,0.0363,0.1000,-0.0041,0.0314,-0.0507,0.0847,-0.0851,-0.1572,0.0104,0.0262,0.0902,0.0329,0.0652,0.1089,0.0702,0.0689
corr_dropout_disagreement_mean,-0.1063,0.0896,0.0707,0.1090,0.0073,0.0243,-0.0083,-0.2134,-0.0957,-0.2244,-0.0024,0.0453,-0.1528,-0.0961,0.1042,0.2104,0.0422,0.1140
corr_dropout_meteor_var_mean,0.0464,0.1572,0.0153,0.0285,0.0089,0.0542,-0.0201,0.0695,0.0274,0.0972,-0.0544,-0.2409,-0.0165,-0.0160,0.0705,-0.1158,-0.0813,-0.0865
corr_similarity_to_test,0.0249,0.2878*,0.0051,0.0310,-0.0994,0.1051,0.0903,0.0421,-0.0788,0.0537,0.1872,-0.0026,0.3676*,0.0639,-0.0094,0.0209,0.1401,0.2287
corr_source_delfy_mean,-0.0145,-0.0053,-0.0960,-0.0138,0.1256,-0.0760,0.0086,0.0071,0.1124,0.0186,-0.0521,0.0856,-0.2071,0.0144,0.0724,0.0107,0.0267,0.0011
corr_target_delfy_mean,0.0459,-0.1091,-0.0781,-0.0606,0.2924*,-0.0072,-0.0479,-0.0656,-0.0301,0.0674,-0.0819,-0.0522,0.0721,0.1121,0.0622,-0.1436,0.1646,-0.0932
corr_vocab_size,-0.0131,-0.1408,0.0121,-0.1686,-0.0420,0.0684,-0.0214,0.0483,0.0153,0.0822,0.0438,0.0700,0.1170,0.0072,-0.0802,0.0046,0.0162,0.0884
